CookAdultsWeekDayBreakFast,CookAdultsWeekDayBreakFast                                                                                                                                                                                                                                     ,Number
CookAdultsWeekDayLunch,CookAdultsWeekDayLunch                                                                                                                                                                                                                                         ,Number
CookAdultsWeekDayDinner,CookAdultsWeekDayDinner                                                                                                                                                                                                                                        ,Number
CookAdultsSaturdayBreakfast,CookAdultsSaturdayBreakfast                                                                                                                                                                                                                                    ,Number
CookAdultsSaturdayLunch,CookAdultsSaturdayLunch                                                                                                                                                                                                                                        ,Number
CookAdultsSaturdayDinner,CookAdultsSaturdayDinner                                                                                                                                                                                                                                       ,Number
CookAdultsSundayBreakfast,CookAdultsSundayBreakfast                                                                                                                                                                                                                                      ,Number
CookAdultsSundayLunch,CookAdultsSundayLunch                                                                                                                                                                                                                                          ,Number
CookAdultsSundayDinner,CookAdultsSundayDinner                                                                                                                                                                                                                                         ,Number
CookChildrenWeekDayBreakfast,CookChildrenWeekDayBreakfast                                                                                                                                                                                                                                   ,Number
CookChildrenWeekDayLunch,CookChildrenWeekDayLunch                                                                                                                                                                                                                                       ,Number
CookChildrenWeekDayDinner,CookChildrenWeekDayDinner                                                                                                                                                                                                                                      ,Number
CookChildrenSaturdayBreakfast,CookChildrenSaturdayBreakfast                                                                                                                                                                                                                                  ,Number
CookChildrenSaturdayLunch,CookChildrenSaturdayLunch                                                                                                                                                                                                                                      ,Number
CookChildrenSaturdayDinner,CookChildrenSaturdayDinner                                                                                                                                                                                                                                     ,Number
CookChildrenSundayBreakfast,CookChildrenSundayBreakfast                                                                                                                                                                                                                                    ,Number
CookChildrenSundayLunch,CookChildrenSundayLunch                                                                                                                                                                                                                                        ,Number
CookChildrenSundayDinner,CookChildrenSundayDinner                                                                                                                                                                                                                                       ,Number
AltFuelCoalCook,AltFuelCoalCook                                                                                                                                                                                                                                                ,Number
AltFuelParaffinCook,AltFuelParaffinCook                                                                                                                                                                                                                                            ,Number
AltFuelGasCook,AltFuelGasCook                                                                                                                                                                                                                                                 ,Number
AltFuelWoodCook,AltFuelWoodCook                                                                                                                                                                                                                                                ,Number
AltFuelCharcoalCook,AltFuelCharcoalCook                                                                                                                                                                                                                                            ,Number
AltFuelCoalHeat,AltFuelCoalHeat                                                                                                                                                                                                                                                ,Number
AltFuelParaffinHeat,AltFuelParaffinHeat                                                                                                                                                                                                                                            ,Number
AltFuelGasHeat,AltFuelGasHeat                                                                                                                                                                                                                                                 ,Number
AltFuelWoodHeat,AltFuelWoodHeat                                                                                                                                                                                                                                                ,Number
AltFuelCharcoalHeat,AltFuelCharcoalHeat                                                                                                                                                                                                                                            ,Number
What is the size of the main switch?,MainSwitch                                                                                                                                                                                                                                                     ,Number
